Star;f_Star;a;e_a;e;e_e;i;e_i;Omega;e_Omega;w;e_w;Tp;e_Tp;Per;e_Per;SpT;Kmag;r;Orb;SimbadName;_RA;_DE
;;arcsec;arcsec;;;deg;deg;deg;deg;deg;deg;yr;yr;yr;yr;;mag;;;;deg;deg
----;-;--------;-------;-------;-------;------;-----;------;-----;------;-----;-------;------;-------;-------;-;-----;-----;---;-----------;----------;----------
S1;;0.5950;0.0240;0.5560;0.0180;119.14;0.21;342.04;0.32;122.30;1.40;2001.80;0.15;166.00;5.80;e;14.70;1.75;Orb;[EG97]S1;266.416841;-29.007868
S2;;0.1255;0.0009;0.8839;0.0019;134.18;0.40;226.94;0.60;65.51;0.57;2002.33;0.01;16.00;0.02;e;13.95;1.13;Orb;[EG97]S2;266.416851;-29.007771
S4;;0.3570;0.0037;0.3905;0.0059;80.33;0.08;258.84;0.07;290.80;1.50;1957.40;1.20;77.00;1.00;e;14.40;1.25;Orb;[EG97]S4;266.416932;-29.007769
S6;;0.6574;0.0006;0.8400;0.0003;87.24;0.06;85.07;0.12;116.23;0.07;2108.61;0.03;192.00;0.17;e;15.40;1.58;Orb;[EG97]S6;266.416994;-29.007777
S8;;0.4047;0.0014;0.8031;0.0075;74.37;0.30;315.43;0.19;346.70;0.41;1983.64;0.24;92.90;0.41;e;14.50;1.18;Orb;[EG97]S8;266.416965;-29.007879
S9;;0.2724;0.0041;0.6440;0.0200;82.41;0.24;156.60;0.10;150.60;1.00;1976.71;0.92;51.30;0.70;e;15.10;1.65;Orb;[EG97]S9;266.416899;-29.007902
S12;;0.2987;0.0018;0.8883;0.0017;33.56;0.49;230.10;1.80;317.90;1.50;1995.59;0.04;58.90;0.22;e;15.50;2.37;Orb;[EG97]S12;266.416824;-29.007717
S13;;0.2641;0.0016;0.4250;0.0023;24.70;0.48;74.50;1.70;245.20;2.40;2004.86;0.04;49.00;0.14;e;15.80;3.25;Orb;[EG97]S13;266.416787;-29.007811
S14;;0.2863;0.0036;0.9761;0.0037;100.59;0.87;226.38;0.64;334.59;0.87;2000.12;0.06;55.30;0.48;e;15.70;2.16;Orb;[EG97]S14;266.416875;-29.007792
S17;;0.3559;0.0096;0.3970;0.0110;96.83;0.11;191.62;0.21;326.00;1.90;1991.19;0.41;76.60;1.00;l;15.30;3.00;Orb;[EG97]S17;266.416844;-29.007721
S18;;0.2379;0.0015;0.4710;0.0120;110.67;0.18;49.11;0.18;349.46;0.66;1993.86;0.16;41.90;0.18;e;16.70;2.28;Orb;[EG97]S18;266.416806;-29.007921
S19;;0.5200;0.0940;0.7500;0.0430;71.96;0.35;344.60;0.62;155.20;2.30;2005.39;0.16;135.00;14.00;e;16.00;2.57;Orb;[EG97]S19;266.416791;-29.007952
S21;;0.2190;0.0017;0.7640;0.0140;58.80;1.00;259.64;0.62;166.40;1.10;2027.40;0.17;37.00;0.28;l;16.90;1.60;Orb;[EG97]S21;266.416841;-29.007794
S22;;1.3100;0.2800;0.4490;0.0880;105.76;0.95;291.70;1.40;95.00;20.00;1996.90;10.20;540.00;63.00;e;16.60;2.78;Orb;[EG97]S22;;
S23;;0.2530;0.0120;0.5600;0.1400;48.00;7.10;249.00;13.00;39.00;6.70;2024.70;3.70;45.80;1.60;e;17.80;2.08;Orb;[EG97]S23;;
S24;;0.9440;0.0480;0.8970;0.0049;103.67;0.42;7.93;0.37;290.00;15.00;2024.50;0.03;331.00;16.00;l;15.60;1.54;Orb;[EG97]S24;266.416831;-29.007819
S29;;0.4280;0.0190;0.7280;0.0520;105.80;1.70;161.96;0.80;346.50;5.90;2025.96;0.94;101.00;2.00;e;16.70;3.32;Orb;[EG97]S29;266.416793;-29.007762
S31;;0.4490;0.0100;0.5497;0.0025;109.03;0.27;137.16;0.30;308.00;3.00;2018.07;0.14;108.00;1.20;e;15.70;3.16;Orb;[EG97]S31;266.416752;-29.007734
S33;;0.6570;0.0260;0.6080;0.0640;60.50;2.50;100.10;5.50;303.70;1.60;1928.00;12.00;192.00;5.20;e;16.00;2.21;Orb;[EG97]S33;266.416664;-29.007817
S38;;0.1416;0.0002;0.8201;0.0007;171.10;2.10;101.06;0.24;17.99;0.25;2003.19;0.01;19.20;0.02;l;17.00;2.48;Orb;[EG97]S38;266.416835;-29.007798
S39;;0.3700;0.0150;0.9236;0.0021;89.36;0.73;159.03;0.10;23.30;3.80;2000.06;0.06;81.10;1.50;;16.80;3.27;Orb;[EG97]S39;;
S42;;0.9500;0.1800;0.5670;0.0830;67.16;0.66;196.14;0.75;35.80;3.20;2008.24;0.75;335.00;58.00;e;17.50;1.65;Orb;[EG97]S42;;
S54;;1.2000;0.8700;0.8930;0.0780;62.20;1.40;288.35;0.70;140.80;2.30;2004.46;0.07;477.00;199.00;e;17.50;2.60;Orb;[EG97]S54;;
S55;;0.1078;0.0010;0.7209;0.0077;150.10;2.20;325.50;4.00;331.50;3.90;2009.34;0.04;12.80;0.11;;17.50;1.61;Orb;[EG97]S55;;
S60;;0.3877;0.0070;0.7179;0.0051;126.87;0.30;170.54;0.85;29.37;0.29;2023.89;0.09;87.10;1.40;e;16.30;1.65;Orb;[EG97]S60;;
