ID K R dRA dDEC Vra dVra Vdec dVdec
S2-1 11.4 2.024 -1.801 0.925 -40 50 50 50
S2-2 14.2 2.068 -0.536 1.998 140 140 200 40
S2-3 14.5 2.081 -1.513 -1.430 110 110 260 230
S2-4 12.1 2.085 1.457 -1.491 140 70 230 40
S2-5 13.3 2.090 1.905 -0.859 240 110 80 80
S2-6 11.9 2.097 1.598 -1.358 200 60 230 50
S2-7 13.6 2.099 1.056 1.814 -60 90 220 80
S2-8 12.3 2.108 -1.940 0.824 150 110 120 90
S2-9 10.6 2.117 2.055 0.508 -120 50 170 60
S2-10 9.9 2.125 -1.587 1.413 200 100 -140 100
S2-11 11.9 2.128 2.034 -0.625 -130 80 110 70
S2-12 15.8 2.129 1.759 1.200 -220 70 -340 170
S2-13 11.3 2.164 -0.015 -2.164 -90 140 -100 90
S2-14 15.5 2.170 -1.501 -1.567 180 350 340 270
S2-15 10.8 2.195 1.861 -1.164 170 60 240 40
S2-16 11.8 2.232 -0.911 2.038 -200 90 10 40
S2-17 10.9 2.259 1.270 -1.868 260 60 180 40
S2-18 13.2 2.317 -0.901 -2.135 -320 230 140 140
S2-19 12.6 2.334 0.527 2.273 -180 180 90 40
S2-20 16.4 2.349 1.711 1.609 50 200 340 360
S2-21 13.6 2.363 -1.696 -1.645 420 110 80 100
S2-22 13.0 2.389 2.371 -0.287 -140 60 330 40
S2-23 14.9 2.460 1.700 1.779 240 130 -100 170
S2-24 13.9 2.464 -2.281 -0.934 -140 220 110 230
S2-25 14.1 2.587 0.790 -2.463 -200 290 200 200
S2-26 13.5 2.603 0.732 2.497 340 120 -420 100
S2-27 13.0 2.755 0.269 2.742 -170 270 -690 190
S2-28 14.5 2.847 2.697 -0.913 -170 110 250 170
S2-29 15.4 2.912 2.004 -2.113 -240 310 40 350
S2-30 15.3 2.913 2.913 -0.042 220 200 30 240
S2-31 13.0 2.918 2.911 -0.195 -360 60 140 50
S2-32 12.1 2.981 1.148 2.751 120 210 260 110
